Manufacturer,Model identifier,Retail source,Battery voltage,Number of batteries included,Battery capacity in Ahr,Weight of battery in lbs,Motor type,Sound rating in db,Airflow in cubic feet/min on high-speed setting,Airflow in cubic feet/min on low-speed setting,Air velocity in miles per hour on high-speed setting,Air velocity in miles per hour on low-speed setting,Weight of blower with battery installed in lbs,Price,Data source(s) where you found data
Makita,XBU04PTV,Home Depot,36,2,5.0,3.09,0.0,61.0,473,473,120,120,26.46,659.0,https://www.homedepot.com/p/Makita-120-MPH-473-CFM-LXT-18V-X2-36V-Lithium-Ion-Brushless-Cordless-Leaf-Blower-Kit-with-Vacuum-Attachment-Kit-5-0-Ah-XBU04PTV/313894232
Dewalt,DCBL777Y1,Home Depot,60,1,4.0,2.25,0.0,62.0,760,760,160,160,14.617,379.0,https://www.homedepot.com/p/DEWALT-60-Volt-MAX-157-MPH-780-CFM-Brushless-Cordless-Battery-Powered-Handheld-Leaf-Blower-Kit-with-12-Ah-Battery-and-Charger-DCBL777Y1/327127876
RYOBI,P21011K,Home Depot,18,1,2.0,0.96,0.5,65.0,250,250,90,90,4.67,89.0,https://www.homedepot.com/p/RYOBI-ONE-18V-90-MPH-250-CFM-Cordless-Battery-Leaf-Blower-Sweeper-with-2-0-Ah-Battery-and-Charger-P21011K/327353564
Milwaukee,2824-20-48-11-1880,Home Depot,18,1,8.0,2.87,0.0,64.0,600,600,145,145,6.01,495.1,https://www.homedepot.com/p/Milwaukee-M18-FUEL-Dual-Battery-145-MPH-600-CFM-18-Volt-Lithium-Ion-Brushless-Cordless-Handheld-Blower-w-1-8-0Ah-Battery-2824-20-48-11-1880/326513800
RYOBI,RY40408BTL,Home Depot,40,0,0.0,0.0,0.5,68.0,525,525,110,110,6.3,149.0,https://www.homedepot.com/p/RYOBI-40V-110-MPH-525-CFM-Cordless-Battery-Variable-Speed-Jet-Fan-Leaf-Blower-Tool-Only-RY40408BTL/313378995
Makita,XBU02PT,Home Depot,36,2,5.0,3.09,0.0,61.0,473,473,120,120,9.9,389.0,https://www.homedepot.com/p/Makita-120-MPH-473-CFM-18V-X2-36V-LXT-Lithium-Ion-Brushless-Cordless-Leaf-Blower-Kit-with-2-Batteries-5-0Ah-and-Charger-XBU02PT/301122947
ECHO,DPB-2500C1,Home Depot,56,1,2.5,2.25,0.0,70.0,526,526,151,151,5.45,199.99,https://www.homedepot.com/p/ECHO-eFORCE-56V-151-MPH-526-CFM-Cordless-Battery-Powered-Handheld-Leaf-Blower-with-2-5Ah-Battery-and-Charger-DPB-2500C1/318183019
ECHO,DPB-2500R2,Home Depot,56,1,5.0,4.49,0.5,65.0,549,549,158,158,9.5,249.99,https://www.homedepot.com/p/ECHO-eFORCE-56V-158-MPH-549-CFM-Cordless-Battery-Powered-Handheld-Leaf-Blower-with-5-0Ah-Battery-and-Rapid-Charger-DPB-2500R2/325747002
Homelite,HOMBL10,Home Depot,12,1,2.5,3.5,0.5,59.0,160,160,90,90,3.5,79.0,https://www.homedepot.com/p/Homelite-12-Volt-Lithium-90-MPH-160-CFM-Cordless-Battery-Blower-with-Internal-2-5-Ah-Battery-and-Charger-HOMBL10/324106630
Green Machine,GMBT6200-CP,Home Depot,62,1,4.0,13.25,0.0,65.0,600,600,120,120,25.4,245.98,https://www.homedepot.com/p/Green-Machine-62V-2-Tool-Combo-Kit-600-CFM-120-MPH-Axial-Blower-16-in-Brushless-String-Trimmer-4Ah-battery-Rapid-Charger-4-pcs-GMBT6200-CP/315397664
